text,label,microsoft,google,minsky
"mountains , trees , and beautiful cotton-ish blue sky ! i will fly ! :)",1,0.999065101,0.600000024,1
"follow me ? please ... (: your great and it would make my day . btw , i wanna shampoo your hair ;d lmao . 3",1,0.929678857,0.100000001,1
hi there ! nice to see you back !,1,0.995769143,0.300000012,1
rt i ? new york !,1,0.781842411,0,1
my coffin has already been reshaped as it's going with me !!!,1,0.058987141,0,1
i went to hot power yoga and i loved it . much better than bikram to me . power good . hot good . sweat good . what's not to love ?,1,0.974015236,0.600000024,1
"lol , well i considered posting something normal , but since when have i been normal .",0,0.898836851,0.100000001,0
it saddens my heart 2 c women with black eyes ! :(,0,0.028552294,-0.699999988,0
i cant feel my feet .. that cant be good ..,0,0.14913848,-0.600000024,0
"i hope so dude hahaha 3 . so , which subject do you have right now ? xx",1,0.939422488,0.100000001,1
"he's been ranting about this for years rt finally blogged "" business is conducted by people , not users """,0,0.731575668,-0.200000003,0
"rt happy birthday to carole king b . 1942 , carmen miranda 1909 ,",1,0.95416826,0.5,1
going to get jubby's valentines day gift with some assistance from lee and shane :) finally got my car registered :) work monday-friday 12 - 4 ?,1,0.988146901,0.5,1
about to spend the next couple of hours of my life working for the man,0,0.734894097,0.600000024,0
rt i should of threw my self on the floor and screamed ( bro u would be gettin a fat check if u had done dat ),0,0.5,0.200000003,0
need to find a red all lace see thru dress ( like my black one ) for my friend brian goins red && black birthday party this weekend ;; his gift !,1,0.693909645,0.699999988,1
well deserved . seems emblematic of a new bbc confidence unashamedly to produce docs that are pitched at more advanced level .,1,0.88379395,0.600000024,1
"yea , that's y i'm not supposed to use it , they wanna attribute all the results to the mouthwash , without chewing gum to help it .",0,0.217906743,-0.200000003,0
how dare you i am now * your darklordwaffle pimp now hoe work that corner * pimp slaps *,0,0.104198128,0.300000012,0
learning about water heaters - ah the joys of home ownership - and still being single : ),1,0.297865093,0.699999988,1
2 cans of full fat coke and im bouncing round the place .,1,0.687759042,-0.100000001,1
porn ! ? ! shit wont be e z my g ! trust me i tried ! rt i think i know what i am giving up for lent ... it won ' ...,0,0.051185608,-0.200000003,0
i'm so super duper excitied right now cuz ' i'm gonna watch harry potter !,1,0.872143567,0.699999988,1
hey ! going to see you in dundrum on friday :) i was talking to ur mam ( my teacher ) today :) no schol because im going to you :) x,1,0.999826074,0.300000012,1
"rt "" i lift my eyes up to you , to you whose throne is in heaven . "" ps . 123 : 1 ... 3 // love it . and the maker of heaven & earth :)",1,0.996506274,0.800000012,1
how to succeed in the age of going solo ? a great article for everyone to read in the wsj .,1,0.842022896,0.600000024,1
what disneyworld commercial ? he's the saints qb and is sooo cute :),1,0.999796331,0.800000012,1
las year i was so stressed out i forgot i was my birthday . didn't figure it out til 730 that night . my bad .,0,0.043727934,-0.100000001,0
"devote yourself to prayer , being watchful and thankful . very good verse & a great way 2 start a day ! have a fun day in pc !",1,0.97370404,0.800000012,1
just back from a walk with the doggies . got caught in a hail storm - hailstones really sting when they're lashing down on your face !,0,0.5,0.300000012,0
to better understand me lol - rt i'm going back to school @ doing a free 5 week automotive course ! :),1,0.987330317,0.699999988,1
"and simon peter answered and said , thou art the christ , the son of the living god . matthew 16 : 16 jesus loves you",1,0.79729104,0.400000006,1
bored with waiting for the ipad to come out so i've made my own out of a journos pad and some spray mount,0,0.155474395,0.400000006,0
so i have come to the conclusions that there's bitches who dnt like me on here bt follow wtf i gotta say !,0,0.10274601,-0.5,0
rock onrt billzucker : i love ( cont ),1,0.976036131,0.800000012,1
rt who wants to laugh ?,1,0.864409208,0.100000001,1
"my clothes smell like weed , vomit and chicken . and i didnt smoke . nor vomit . and most unfortunately didn't eat chicken . nice -_-",0,0.040261865,-0.600000024,0
"it took 2 hours rummaging through my receipt drawer only to learn i ? d lost the receipt , isn ? t there a better way ?",0,0.162753582,-0.300000012,0
conferences have never made me wish to have a child . ever . what are you drinking @ said cons ??,0,0.217546582,0,0
i favorited a youtube video -- zooey deschanel in weeds,1,0.227078617,0.100000001,1
ugh ... if i have too much of the gogo juice i get a bad stomach ache,0,0.00353545,-0.899999976,0
"urgh i'm soo bored and tired . text . call , anything . hmm i must find things to multi task on now !",0,0.101023138,0.100000001,0
"guayadeque - nice music player ubuntu geek : music player with the aims to be intuitive , easy to use and fast eve ...",1,0.973249555,0.899999976,1
headed to human resources class . now i know why michael hates toby so much .,0,0.241987795,0.100000001,0
bab girls club was funny ass shyt can't wait til the reuion shw,1,0.244061917,0.100000001,1
rt don't forget to watch the teaser & rt for a chance to win a signed fnv poster must be 18,1,0.78136313,0.300000012,1
my moms a retard for reading my texts and thinking my most recent tweet was inapproprate,0,0.168626636,0,0
rt retirement : don't run out of money before you run out of time,0,0.146654814,-0.300000012,0
so i missed again this wk ... can some tell me wht happened,0,0.053542674,-0.300000012,0
"everyone says to give up on you , but they don't see you like i do .",0,0.190276563,-0.600000024,0
"after these shows i'm callin it a early nite , been up early and already gettin sleepy !!",0,0.123023272,0,0
no beer for me today either . but i am enjoying the 2008 odonata grenache .,1,0.800356686,0.300000012,1
free : star bucks gift card,1,0.94030726,0.400000006,1
rt so google buzz is a hot topic look at the offical google [ video ] - and you will love it go google,1,0.903218985,0.800000012,1
guess whats driving on the way to my house ),1,0.256569922,0.300000012,1
"and verizon to reduce the fees they charge for their airtime , and now if they're successful w / their high speed effort , they'll create the",1,0.897303879,-0.200000003,1
i got one more song to finish :) then i will send it,1,0.995715082,0.400000006,1
"rt sorry i've been quiet on the tweetside , i'm just really into right now ( its addictive .",0,0.804148555,0.899999976,0
just watched 10 minutes of house of payne cause i didnt want to get up and look for the remote .,0,0.162219018,-0.400000006,0
"having english class now , we're doing profiles to ning . com , not so different from my freetime :d",1,0.200142235,0.300000012,1
hey thats a good news . what is the name of that film .,1,0.973792315,0.300000012,1
