,text,label,Y_pred
68,just back from a walk with the doggies . got caught in a hail storm - hailstones really sting when they're lashing down on your face !,0,0.0
69,to better understand me lol - rt i'm going back to school @ doing a free 5 week automotive course ! :),1,0.0
70,"and simon peter answered and said , thou art the christ , the son of the living god . matthew 16 : 16 jesus loves you",1,0.0
71,bored with waiting for the ipad to come out so i've made my own out of a journos pad and some spray mount,0,0.0
72,so i have come to the conclusions that there's bitches who dnt like me on here bt follow wtf i gotta say !,0,0.0
73,rock onrt billzucker : i love ( cont ),1,0.0
74,rt who wants to laugh ?,1,0.0
75,"my clothes smell like weed , vomit and chicken . and i didnt smoke . nor vomit . and most unfortunately didn't eat chicken . nice -_-",0,0.0
76,"it took 2 hours rummaging through my receipt drawer only to learn i ? d lost the receipt , isn ? t there a better way ?",0,0.0
77,conferences have never made me wish to have a child . ever . what are you drinking @ said cons ??,0,0.0
78,i favorited a youtube video -- zooey deschanel in weeds,1,0.0
79,ugh ... if i have too much of the gogo juice i get a bad stomach ache,0,0.0
80,"urgh i'm soo bored and tired . text . call , anything . hmm i must find things to multi task on now !",0,0.0
81,"guayadeque - nice music player ubuntu geek : music player with the aims to be intuitive , easy to use and fast eve ...",1,0.0
82,headed to human resources class . now i know why michael hates toby so much .,0,0.0
83,bab girls club was funny ass shyt can't wait til the reuion shw,1,0.0
84,rt don't forget to watch the teaser & rt for a chance to win a signed fnv poster must be 18,1,0.0
85,my moms a retard for reading my texts and thinking my most recent tweet was inapproprate,0,0.0
86,rt retirement : don't run out of money before you run out of time,0,0.0
87,so i missed again this wk ... can some tell me wht happened,0,0.0
88,"everyone says to give up on you , but they don't see you like i do .",0,0.0
89,"after these shows i'm callin it a early nite , been up early and already gettin sleepy !!",0,0.0
90,no beer for me today either . but i am enjoying the 2008 odonata grenache .,1,0.0
91,free : star bucks gift card,1,0.0
92,rt so google buzz is a hot topic look at the offical google [ video ] - and you will love it go google,1,0.0
93,guess whats driving on the way to my house ),1,0.0
94,"and verizon to reduce the fees they charge for their airtime , and now if they're successful w / their high speed effort , they'll create the",1,0.0
95,i got one more song to finish :) then i will send it,1,0.0
96,"rt sorry i've been quiet on the tweetside , i'm just really into right now ( its addictive .",0,0.0
97,just watched 10 minutes of house of payne cause i didnt want to get up and look for the remote .,0,0.0
98,"having english class now , we're doing profiles to ning . com , not so different from my freetime :d",1,0.0
99,hey thats a good news . what is the name of that film .,1,0.0
