text,label,NB_prob
going to get jubby's valentines day gift with some assistance from lee and shane :) finally got my car registered :) work monday-friday 12 - 4 ?,1,0.36189104038235764
about to spend the next couple of hours of my life working for the man,0,0.3512961020521579
rt i should of threw my self on the floor and screamed ( bro u would be gettin a fat check if u had done dat ),0,0.07060846936895436
need to find a red all lace see thru dress ( like my black one ) for my friend brian goins red && black birthday party this weekend ;; his gift !,1,0.9732948898978402
well deserved . seems emblematic of a new bbc confidence unashamedly to produce docs that are pitched at more advanced level .,1,0.09770454108530582
"yea , that's y i'm not supposed to use it , they wanna attribute all the results to the mouthwash , without chewing gum to help it .",0,0.129771649190198
how dare you i am now * your darklordwaffle pimp now hoe work that corner * pimp slaps *,0,0.3475227772482876
learning about water heaters - ah the joys of home ownership - and still being single : ),1,0.5159627308096486
2 cans of full fat coke and im bouncing round the place .,1,0.23285635862786144
porn ! ? ! shit wont be e z my g ! trust me i tried ! rt i think i know what i am giving up for lent ... it won ' ...,0,0.07694741755315719
i'm so super duper excitied right now cuz ' i'm gonna watch harry potter !,1,0.6447779017885078
hey ! going to see you in dundrum on friday :) i was talking to ur mam ( my teacher ) today :) no schol because im going to you :) x,1,0.3356553269006816
"rt "" i lift my eyes up to you , to you whose throne is in heaven . "" ps . 123 : 1 ... 3 // love it . and the maker of heaven & earth :)",1,0.90592397430458
how to succeed in the age of going solo ? a great article for everyone to read in the wsj .,1,0.9473915919537834
what disneyworld commercial ? he's the saints qb and is sooo cute :),1,0.9069677227813849
las year i was so stressed out i forgot i was my birthday . didn't figure it out til 730 that night . my bad .,0,0.2829797298706566
"devote yourself to prayer , being watchful and thankful . very good verse & a great way 2 start a day ! have a fun day in pc !",1,0.980170988477251
just back from a walk with the doggies . got caught in a hail storm - hailstones really sting when they're lashing down on your face !,0,0.8634104344769
to better understand me lol - rt i'm going back to school @ doing a free 5 week automotive course ! :),1,0.1051053503377638
"and simon peter answered and said , thou art the christ , the son of the living god . matthew 16 : 16 jesus loves you",1,0.994423707723618
bored with waiting for the ipad to come out so i've made my own out of a journos pad and some spray mount,0,0.1341718661900261
so i have come to the conclusions that there's bitches who dnt like me on here bt follow wtf i gotta say !,0,0.06460315075365813
rock onrt billzucker : i love ( cont ),1,0.8850246214434475
rt who wants to laugh ?,1,0.7174438169377391
"my clothes smell like weed , vomit and chicken . and i didnt smoke . nor vomit . and most unfortunately didn't eat chicken . nice -_-",0,0.0022513054239766957
"it took 2 hours rummaging through my receipt drawer only to learn i ? d lost the receipt , isn ? t there a better way ?",0,0.0112291969918032
conferences have never made me wish to have a child . ever . what are you drinking @ said cons ??,0,0.4865823018583565
i favorited a youtube video -- zooey deschanel in weeds,1,0.33858543582777956
ugh ... if i have too much of the gogo juice i get a bad stomach ache,0,0.02199644892534251
"urgh i'm soo bored and tired . text . call , anything . hmm i must find things to multi task on now !",0,0.3755567940989573
"guayadeque - nice music player ubuntu geek : music player with the aims to be intuitive , easy to use and fast eve ...",1,0.926226793331442
headed to human resources class . now i know why michael hates toby so much .,0,0.8131038151678592
bab girls club was funny ass shyt can't wait til the reuion shw,1,0.7879600127163648
rt don't forget to watch the teaser & rt for a chance to win a signed fnv poster must be 18,1,0.21095071809159424
my moms a retard for reading my texts and thinking my most recent tweet was inapproprate,0,0.11788669082420339
rt retirement : don't run out of money before you run out of time,0,0.08646316981164888
so i missed again this wk ... can some tell me wht happened,0,0.25141245628360437
"everyone says to give up on you , but they don't see you like i do .",0,0.2186653608852287
"after these shows i'm callin it a early nite , been up early and already gettin sleepy !!",0,0.9523744409613015
no beer for me today either . but i am enjoying the 2008 odonata grenache .,1,0.9069722506332778
free : star bucks gift card,1,0.04523036720130618
rt so google buzz is a hot topic look at the offical google [ video ] - and you will love it go google,1,0.010892434308427023
guess whats driving on the way to my house ),1,0.15304969662528417
"and verizon to reduce the fees they charge for their airtime , and now if they're successful w / their high speed effort , they'll create the",1,0.07240642674465135
i got one more song to finish :) then i will send it,1,0.06477044775090132
"rt sorry i've been quiet on the tweetside , i'm just really into right now ( its addictive .",0,0.5913510240083618
just watched 10 minutes of house of payne cause i didnt want to get up and look for the remote .,0,0.07135834447330747
"having english class now , we're doing profiles to ning . com , not so different from my freetime :d",1,0.6629213089417784
hey thats a good news . what is the name of that film .,1,0.6345546217414112
